ICE_IME_id	ICE_IME_id_need_manual_curation	Segment_number	Comments_ICE_IME_structure	Is_hit_blast	Is_hit_HMM	CDS_num	Genome_accession	Genome_accession_rank	CDS_locus_tag	CDS_protein_id	CDS_strand	CDS_start	CDS_end	CDS_length	Is_pseudo	CDS_Protein_type	CDS_Protein_type_blast	Description_of_blast_most_similar_ref_SP	Id_of_blast_most_similar_ref_SP	Length_of_blast_most_similar_ref_SP	Blast_ali_length	Blast_ali_start_CDS	Blast_ali_end_CDS	Blast_ali_start_Query_blast	Blast_ali_end_Query_blast	Blast_ali_identity_perc	Blast_ali_E-value	Blast_ali_bitscore	CDS_coverage_blast	Blast_ali_coverage_most_similar_ref_SP	Protein_type_of_blast_most_similar_ref_SP	Associated_element_type_of_blast_most_similar_ref_SP	ICE_superfamily_of_most_similar_ref_SP	ICE_family_of_most_similar_ref_SP	IME_superfamily_of_most_similar_ref_SP	Relaxase_family_domain_of_most_similar_ref_SP	Relaxase_family_MOB_of_most_similar_ref_SP	Coupling_type_of_most_similar_ref_SP	False_positives	SP_blast_validation	Use_annotation	Protein_type_of_matching_HMM_profile	Description_of_matching_HMM_profile	Profile_name	Length_of_matching_HMM_profile	HMM_ali_i-Evalue	HMM_ali_E-value	HMM_ali_Score	HMM_ali_Bias	HMM_ali_Global_score	HMM_ali_Global_bias	HMM_coverage	CDS_coverage_hmm
	ID_4	3	Could not choose assigning between upstream or downstream integrases CDR20291_RS09685, CDR20291_RS09810 to structure ID_4, please manually check. 	1	1	1881	NC_013316.1	1	CDR20291_RS09810	WP_012816213.1	+	2085969	2087639	556	-	Serine integrase	Serine integrase	Serine integrase	BAN61771	548.0	527.0	19.0	545.0	10.0	535.0	50.66	0.0	558.0	94.78	95.99	Integrase	IME	-	-	-	-	-	-	-	validated	yes	Serine integrase	Serine recombinase	Recombinase	104	1.4000000000000002e-22	4.1e-23	66.3	0.2	68.1	0.2	100.0	23.2
ID_1		3	The now former ICE / IME structure __IMEICEID_BasicEMStructure__7__ (CDR20291_RS09835, CDR20291_RS09900, CDR20291_RS09960) is being merged into the ICE / IME structure ID_1 (CDR20291_RS09505 [Pseudo]). 	1	1	1886	NC_013316.1	1	CDR20291_RS09835	WP_009888261.1	+	2089279	2091708	809	-	VirB4	VirB4	VirB4	BAN60872	809.0	809.0	1.0	809.0	1.0	809.0	98.52	0.0	1627.0	100.0	100.0	VirB4	ICE	Tn5252	Tn1549	-	-	-	-	-	validated	yes	VirB4	VirB4	T4SS_virb4	943	2.3000000000000002e-104	1.9e-104	336.5	12.9	336.7	12.9	79.11	94.44
ID_1		3	The now former ICE / IME structure __IMEICEID_BasicEMStructure__7__ (CDR20291_RS09835, CDR20291_RS09900, CDR20291_RS09960) is being merged into the ICE / IME structure ID_1 (CDR20291_RS09505 [Pseudo]). 	1	1	1899	NC_013316.1	1	CDR20291_RS09900	WP_009889829.1	-	2112394	2113725	443	-	Relaxase	Relaxase	Relaxase MOBP (PF03432)	EIK41756	443.0	443.0	1.0	443.0	1.0	443.0	91.65	0.0	852.0	100.0	100.0	Relaxase	ICE	Tn5252	Tn1549	-	PF03432	MOBP	-	-	validated	yes	Relaxase	MOBP	T4SS_MOBP1	233	6.8999999999999995e-31	6.8999999999999995e-31	94.0	1.5	94.0	1.5	86.27	45.15
ID_1		3	The now former ICE / IME structure __IMEICEID_BasicEMStructure__7__ (CDR20291_RS09835, CDR20291_RS09900, CDR20291_RS09960) is being merged into the ICE / IME structure ID_1 (CDR20291_RS09505 [Pseudo]). Downstream integrase CDR20291_RS09960 has been associated to the structure __IMEICEID_BasicEMStructure__7__ pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. 	0	1	1911	NC_013316.1	1	CDR20291_RS09960	WP_059109838.1	+	2123710	2128632	1640	-	Serine integrase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Serine integrase	Serine recombinase	Recombinase	104	5.9e-21	2.1e-21	61.1	0.1	62.6	0.1	98.08	6.89
		3		1	1	1926	NC_013316.1	1	CDR20291_RS10025	WP_009893325.1	-	2139559	2141157	532	-	Serine integrase	Serine integrase	Serine integrase	CCI62820	560.0	351.0	41.0	375.0	47.0	372.0	30.2	8.020000000000001e-37	136.0	62.97	58.21	Integrase	ICE	-	-	-	-	-	-	-	validated	yes	Serine integrase	Serine recombinase	Recombinase	104	9.899999999999999e-24	2.0000000000000002e-24	70.1	0.0	72.3	0.1	99.04	21.99
		3		1	1	1957	NC_013316.1	1	CDR20291_RS10180	WP_003435347.1	-	2168630	2169757	375	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	WP_011835230	357.0	348.0	38.0	355.0	17.0	343.0	27.59	2.09e-17	76.3	84.8	91.6	Integrase	ICE	-	-	-	-	-	-	-	validated	no	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172	1.6e-34	4.2999999999999996e-35	105.3	1.0	107.2	2.1	98.84	50.13
		4		1	1	2085	NC_013316.1	1	CDR20291_RS10830	WP_009893419.1	+	2301723	2302835	370	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	AAO80333	389.0	318.0	66.0	366.0	75.0	385.0	28.3	1.14e-34	125.0	81.35	79.95	Integrase	ICE	-	-	-	-	-	-	-	validated	no	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172	3.1e-35	1.6999999999999999e-35	107.6	0.3	108.5	0.3	97.09	49.19
ID_5		5		1	1	3102	NC_013316.1	1	CDR20291_RS15920	WP_009893821.1	-	3516317	3517930	537	-	Serine integrase	Serine integrase	Serine integrase	BAN61771	548.0	535.0	6.0	537.0	11.0	540.0	42.06	1.01e-142	416.0	99.07	96.72	Integrase	IME	-	-	-	-	-	-	-	validated	yes	Serine integrase	Serine recombinase	Recombinase	104	2e-27	2e-27	82.0	2.3	82.0	2.3	99.04	23.65
ID_5		5		1	1	3104	NC_013316.1	1	CDR20291_RS15930	WP_009891468.1	-	3519077	3520156	359	-	Relaxase	Relaxase	Relaxase MOBT (PF02486)	CAJ70290	396.0	377.0	1.0	359.0	3.0	379.0	40.85	5.07e-86	260.0	100.0	95.2	Relaxase	ICE	Tn916	Tn916	-	PF02486	MOBT	-	-	validated	yes	Relaxase	MOBT	T4SS_MOBT	366	2.6e-112	1.7e-112	361.2	5.0	361.8	5.0	97.27	94.71
		5	Downstream integrase CDR20291_RS16215 is significantly further away to ICE/IME structure ID_5 (57 CDSs which is >= to higher cutoff 40 CDSs) than upstream integrase CDR20291_RS15920 (2 CDSs which is <= to lower cutoff 20 CDSs), the downstream integrase is therfore not attributed to ICE/IME structure ID_5. 	1	1	3161	NC_013316.1	1	CDR20291_RS16215	WP_009891550.1	+	3586212	3587378	388	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	ADX24144	414.0	388.0	13.0	375.0	24.0	393.0	28.87	2.0800000000000002e-29	111.0	93.56	89.37	Integrase	ICE	-	-	-	-	-	-	-	validated	no	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172	1.6999999999999999e-35	4.3e-36	108.5	0.0	110.4	0.0	97.67	49.74
ID_6		6		1	1	3631	NC_013316.1	1	CDR20291_RS18585	WP_012816450.1	+	4105406	4106800	464	-	Coupling protein	Coupling protein	Coupling protein TcpA	CAJ70291	464.0	464.0	1.0	464.0	1.0	464.0	93.75	0.0	904.0	100.0	100.0	Coupling protein	ICE	Tn916	Tn916	-	-	-	TcpA	-	validated	yes	Coupling protein	TcpA	tcpA	464	1.7000000000000002e-274	1.5000000000000001e-274	897.0	5.1	897.1	5.1	100.0	100.0
ID_6		6		1	1	3632	NC_013316.1	1	CDR20291_RS18590	WP_272482643.1	+	4107020	4108201	393	-	Relaxase	Relaxase	Relaxase MOBT (PF02486)	CAJ70290	396.0	386.0	4.0	389.0	12.0	395.0	68.91	0.0	576.0	98.22	96.97	Relaxase	ICE	Tn916	Tn916	-	PF02486	MOBT	-	-	validated	yes	Relaxase	MOBT	T4SS_MOBT	366	1.5e-159	1.3e-159	516.6	2.5	516.8	2.5	99.73	93.89
ID_6		6		1	1	3640	NC_013316.1	1	CDR20291_RS18630	WP_009892228.1	+	4111313	4113745	810	-	VirB4	VirB4	VirB4	CAJ70284	816.0	816.0	1.0	810.0	1.0	816.0	92.28	0.0	1531.0	100.0	100.0	VirB4	ICE	Tn916	Tn916	-	-	-	-	-	validated	yes	VirB4	VirB4	T4SS_virb4	943	3.9e-30	2.9000000000000002e-30	90.8	8.6	91.2	8.6	72.0	92.35
ID_6		6	Downstream integrase CDR20291_RS18705 has been associated to the structure ID_6 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. 	1	1	3654	NC_013316.1	1	CDR20291_RS18705	WP_009892253.1	+	4124193	4125374	393	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	CAJ67177	396.0	393.0	1.0	393.0	4.0	396.0	88.55	0.0	736.0	100.0	99.24	Integrase	ICE	-	-	-	-	-	-	-	validated	yes	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172	4.5e-42	2.1e-42	129.9	0.1	131.0	0.1	97.67	48.85
