i_key,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_sp_subsp,h_strain,h_accession,h_taxID,h_assembly,i_accession,i_name,i_type,i_start,i_end,i_len,i_strand,i_insertion,reference,DOI_PMID,status,source_file,comments,h_gram,h_len
CP000503:331928..358392,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp.,W3-18-1,CP000503,351745,Complete,-,GISpuPO1,IME,331928,358392,26464,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,4708380
CP000820:1736202..1754696,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia sp. ,EAN1pec,CP000820,298653,Complete,-,AICEFEAN1pec_1457,AICE,1736202,1754696,18495,+,tRNA-Met,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,8982042
CP000820:6413549..6433021,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia sp. ,EAN1pec,CP000820,298653,Complete,-,AICEFEAN1pec_5323,AICE,6413549,6433021,19473,+,tRNA-Arg,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,8982042
CP000820:6686371..6703080,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia sp. ,EAN1pec,CP000820,298653,Complete,-,AICEFEAN1pec_5518,AICE,6686371,6703080,16710,+,tRNA-Lys,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,8982042
CP000820:6703044..6718723,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia sp. ,EAN1pec,CP000820,298653,Complete,-,AICEFEAN1pec_5535,AICE,6703044,6718723,15680,+,tRNA,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,8982042
CP000820:7658736..7695701,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia sp. ,EAN1pec,CP000820,298653,Complete,-,AICEFEAN1pec_6303,AICE,7658736,7695701,36966,+,tRNA-Arg,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,8982042
CP002447:2669937..2692918,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium ciceri,WSM1271,CP002447,765698,Complete,-,ICEMcSym_WSM1271,ICE,2669937,2692918,22981,+,tRNA-Phe,DOI: 10.1099/mgen.0.000657,DOI: 10.1099/mgen.0.000657,-,ref_dataset_proto,-,-,6264489
CP002457:4812342..4836072,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,200,CP002457,399804,Complete,-,GISpu200,IME,4812342,4836072,23730,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,4840251
CP002801:4367158..4383928,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Protofrankia,Candidatus Frankia datiscae ,Dg1,CP002801,2716812,Complete,NZ_ADGT01000037,AICEFDat_2245,AICE,4367158,4383928,16770,+,tRNA-Glu,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,5323186
CP002802:385044..393946,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Protofrankia,Candidatus Frankia datiscae ,Dg1,CP002802,2716812,Complete,NZ_ADGT01000136,AICEFDat_4298,AICE,385044,393946,8902,+,tRNA-Lys,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,12355
CP002888:43482..53086,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,57.I,CP002888,1046629,Complete,-,IME_Ssal57I_rpmG,IME,43482,53086,9604,+,rpmG,PMID: 21914897,PMID: 21914897,-,ref_dataset_proto,-,-,2138805
CP002888:70384..75506,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,57.I,CP002888,1046629,Complete,-,IME_Ssal57I_tRNALys,IME,70384,75506,5122,+,tRNALys,PMID: 21914897,PMID: 21914897,-,ref_dataset_proto,-,-,2138805
CP009261:3289694..3309366,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus,93U204,CP009261,672,Complete,-,GIVvu93U204,IME,3289694,3309366,19672,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,3315989
CP009913:102958..120947,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,NCTC 8618,CP009913,1304,Complete,-,IME_Ssal8618_NS,IME,102958,120947,17989,+,NS,custom: GG,-,-,ref_dataset_proto,-,-,2188923
CP009913:124995..160938,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,NCTC 8618,CP009913,1304,Complete,-,dICE_Ssal8618_rpsI,ICE derivate,124995,160938,35943,+,rpsI,custom: GG,-,-,ref_dataset_proto,-,-,2188923
CP009913:160888..166145,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,NCTC 8618,CP009913,1304,Complete,-,CIME_Ssal8618_rpsI,CIME,160888,166145,5257,+,rpsI,custom: GG,-,-,ref_dataset_proto,-,-,2188923
CP009913:2112210..2118713,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,NCTC 8618,CP009913,1304,Complete,-,IME_Ssal8618_tRNALys,IME,2112210,2118713,6503,+,tRNALys,custom: GG,-,-,ref_dataset_proto,-,-,2188923
CP009913:69286..76402,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,NCTC 8618,CP009913,1304,Complete,-,IME_Ssal8618_tRNALeu,IME,69286,76402,7116,+,tRNALeu,custom: GG,-,-,ref_dataset_proto,-,-,2188923
CP012950:8174..29265,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,FORC_023,CP012950,670,Complete,-,GIVpaFORC_023,IME,8174,29265,21091,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,3253462
CP014144:106859..112098,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,JF,CP014144,1304,Complete,-,CIME_SsalJF_rpsI,CIME,106859,112098,5239,+,rpsI,PMID: 27660775,PMID: 27660775,-,ref_dataset_proto,-,-,2191044
CP014144:2090001..2096504,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,JF,CP014144,1304,Complete,-,IME_SsalJF_tRNALys,IME,2090001,2096504,6503,+,tRNALys,PMID: 27660775,PMID: 27660775,-,ref_dataset_proto,-,-,2191044
CP014144:48524..66554,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,JF,CP014144,1304,Complete,-,IME_SsalJF_NS,IME,48524,66554,18030,+,NS,PMID: 27660775,PMID: 27660775,-,ref_dataset_proto,-,-,2191044
CP014144:70603..106908,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,JF,CP014144,1304,Complete,-,ICE_SsalJF_rpsI,ICE,70603,106908,36305,+,rpsI,PMID: 27660775,PMID: 27660775,-,ref_dataset_proto,-,-,2191044
CP014144:7508..14624,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,JF,CP014144,1304,Complete,-,IME_SsalJF_tRNALeu,IME,7508,14624,7116,+,tRNALeu,PMID: 27660775,PMID: 27660775,-,ref_dataset_proto,-,-,2191044
CP015282:1588464..1594981,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,ATCC 27945,CP015282,1304,Complete,-,IME_Ssal27945_tRNALys,IME,1588464,1594981,6517,+,tRNALys,custom: GG,-,-,ref_dataset_proto,-,-,2108274
CP015283:459085..464204,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,ATCC 25975,CP015283,1420586,Complete,-,IME_Ssal25975_tRNALys,IME,459085,464204,5119,+,tRNALys,DOI: 10.1128/genomeA.00536-17,DOI: 10.1128/genomeA.00536-17,-,ref_dataset_proto,-,-,2199793
CP015283:482674..492192,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,ATCC 25975,CP015283,1420586,Complete,-,IME_Ssal25975_rpmG_1,IME,482674,492192,9518,+,rpmG_1,DOI: 10.1128/genomeA.00536-17,DOI: 10.1128/genomeA.00536-17,-,ref_dataset_proto,-,-,2199793
CP015283:492178..500422,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,ATCC 25975,CP015283,1420586,Complete,-,IME_Ssal25975_rpmG_2,IME,492178,500422,8244,+,rpmG_2,DOI: 10.1128/genomeA.00536-17,DOI: 10.1128/genomeA.00536-17,-,ref_dataset_proto,-,-,2199793
CP020076:543..21991,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii,20130629003S01,CP020076,680,Complete,-,GIVca20130629,IME,543,21991,21448,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,3621712
CP020451:1021405..1026528,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,FDAARGOS 259,CP020451,1304,Complete,-,IME_SsalFDA259_tRNALys,IME,1021405,1026528,5123,+,tRNALys,custom: GG,-,-,ref_dataset_proto,-,-,2259318
CP020451:1792004..1815306,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,FDAARGOS 259,CP020451,1304,Complete,-,ICE_SsalFDA259_Tn916,ICE,1792004,1815306,23302,+,Tn916,custom: GG,-,-,ref_dataset_proto,-,-,2259318
CP020451:881110..886527,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,FDAARGOS 259,CP020451,1304,Complete,-,IME_SsalFDA259_tRNALeu,IME,881110,886527,5417,+,tRNALeu,custom: GG,-,-,ref_dataset_proto,-,-,2259318
CP020451:996265..1004316,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,FDAARGOS 259,CP020451,1304,Complete,-,IME_SsalFDA259_rpmG,IME,996265,1004316,8051,+,rpmG,custom: GG,-,-,ref_dataset_proto,-,-,2259318
CP024082:3006741..3024445,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,FORC_073,CP024082,666,Complete,-,GIVchFOR073,IME,3006741,3024445,17704,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,3031091
CP024198:3935828..3952124,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas caviae,8LM,CP024198,648,Complete,-,GIAca8LM,IME,3935828,3952124,16296,+,dusA,custom: VB,-,-,ref_dataset_proto,-,-,4551368
CP028355:1870910..1897002,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica,CW2,CP028355,62322,Complete,-,GISbaCW2,IME,1870910,1897002,26092,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,4944783
CP028481:2624969..2706831,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,S107,CP028481,670,Complete,NNCL00000000,VpaS107,ICE,2624969,2706831,81862,+,hipA,DOI: 10.1128/AEM.00485-34,DOI: 10.1128/AEM.00485-34,-,ref_dataset_proto,-,-,3445421
CP040804:385333..403318,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,LAB813,CP040804,1304,Complete,-,ICE_SsalLAB813_Tn916,ICE,385333,403318,17985,+,Tn916,PMID: 31601671,PMID: 31601671,-,ref_dataset_proto,-,-,2242557
CP040804:405771..440673,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,LAB813,CP040804,1304,Complete,-,dICE_SsalLAB813_TnGBS2,ICE derivate,405771,440673,34902,+,TnGBS2,PMID: 31601671,PMID: 31601671,-,ref_dataset_proto,-,-,2242557
CP040804:45598..55778,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,LAB813,CP040804,1304,Complete,-,IME_SsalLAB813_rpsI,IME,45598,55778,10180,+,rpsI,PMID: 31601671,PMID: 31601671,-,ref_dataset_proto,-,-,2242557
CP040804:90516..95932,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,LAB813,CP040804,1304,Complete,-,IME_SsalLAB813_tRNALeu,IME,90516,95932,5416,+,tRNALeu,PMID: 31601671,PMID: 31601671,-,ref_dataset_proto,-,-,2242557
CP041202:3524205..3549883,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,Vb0624,CP041202,670,Complete,-,GIVpaVb0624,IME,3524205,3549883,25678,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,3556649
CP044437:3353576..3458652,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis ,C74,CP044437,584,Complete,AY090559,R391,ICE,3353576,3458652,105077,+,prfC,DOI: 10.1128/JB.184.18.5158-5169.2002 ,DOI: 10.1128/JB.184.18.5158-5169.2002 ,-,ref_dataset_proto,-,-,4183869
CP048406:2398363..2415177,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium sp.,AA22,CP048406,935546,Complete,-,ICEMspSym_AA22,ICE,2398363,2415177,16814,+,guaA,DOI: 10.1099/mgen.0.000657,DOI: 10.1099/mgen.0.000657,-,ref_dataset_proto,-,-,6611049
CT573213:1..21869,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia alni ,ACN14a,CT573213,326424,Complete,-,AICEFACN14a_2929,AICE,1,21869,21868,+,endo,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,positive,7497934
DLYU01000068:53605..61351,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides,UBA12016,DLYU01000068,703,Scaffold,-,GIPshUBA12016,IME,53605,61351,7746,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,-
DPPI01000112:13918..20306,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,UBA8671,DPPI01000112,50741,Scaffold,-,GIMspUBA8671,IME,13918,20306,6388,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,-
DS990138:297443..397820,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,MO10,DS990138,345072,Scaffold ,-,SXT,ICE,297443,397820,100378,+,prfC,PUBMED: 12107144,PUBMED: 12107144,-,ref_dataset_proto,"Coordinates relocated, includes insertion site + rdf ",-,454874
FONF01000016:68653..97777,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp.,DSM 26671,FONF01000016,50741,Scaffold,-,GIMsp26671,IME,68653,97777,29124,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,97777
FOSC01000007:58733..92859,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter persicus,IBRC-M 10445,FOSC01000007,930118,Scaffold,-,GIMpe10445,IME,58733,92859,34126,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,218082
FR873481:1570620..1580586,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,CCHSS3,FR873481,1048332,Complete,-,IME_SsalCCHSS3_NS,IME,1570620,1580586,9966,+,NS,PMID: 21742894,PMID: 21742894,-,ref_dataset_proto,-,-,2217184
FR873481:2137524..2143765,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,CCHSS3,FR873481,1048332,Complete,-,IME_SsalCCHSS3_tRNALys,IME,2137524,2143765,6241,+,tRNALys,PMID: 21742894,PMID: 21742894,-,ref_dataset_proto,-,-,2217184
FR873481:2161044..2172562,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,CCHSS3,FR873481,1048332,Complete,-,IME_SsalCCHSS3_rpmG,IME,2161044,2172562,11518,+,rpmG,PMID: 21742894,PMID: 21742894,-,ref_dataset_proto,-,-,2217184
FR873482:2123283..2129740,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,JIM8777,FR873482,347253,Complete,-,IME_SsalJIM8777_tRNALys,IME,2123283,2129740,6457,+,tRNALys,PMID: 21742871,PMID: 21742871,-,ref_dataset_proto,-,-,2210574
FR873482:2147035..2155757,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,JIM8777,FR873482,347253,Complete,-,IME_SsalJIM8777_rpmG,IME,2147035,2155757,8722,+,rpmG,PMID: 21742871,PMID: 21742871,-,ref_dataset_proto,-,-,2210574
FR873482:511094..548558,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,JIM8777,FR873482,347253,Complete,-,MGI_SsalJIM8777_rplL,IME,511094,548558,37464,+,rplL,PMID: 21742871,PMID: 21742871,-,ref_dataset_proto,-,-,2210574
JALH01003260:4978..24117,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,V-223/04,JALH01003260,1238219,Scaffold,-,GIVpaV22304,IME,4978,24117,19139,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,25067
JIDP01000011:124896..141404,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio mimicus,523-80,JIDP01000011,674,Scaffold,-,GIVmi523-80,IME,124896,141404,16508,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,174695
JNTL02000015:32469..46616,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,CFSAN007455,JNTL02000015,670,Scaffold,-,GIVpaCFSAN007455,IME,32469,46616,14147,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,96096
JQ345361:1..103382,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae O37,MZ03,JQ345361,185332,Partial genomic sequence,-,ICEVchBan8,ICE,1,103382,103381,-,tRNA-Ser,DOI: 10.1016/j.febslet.2012.03.064,DOI: 10.1016/j.febslet.2012.03.064,-,ref_dataset_proto,-,-,103382
JZAN01000045:151129..167675,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,07-2965,JZAN01000045,670,Scaffold,-,GIVpa07-2965,IME,151129,167675,16546,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,557313
LKHR01000095:39216..55724,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio fluvialis,S1110,LKHR01000095,676,Scaffold,-,GIVflS1110,IME,39216,55724,16508,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,97650
LOBQ01000018:33256..47417,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cidicii,2423-01,LOBQ01000018,1763883,Scaffold,-,GIVci2423-01,IME,33256,47417,14161,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,94955
LR134303:3318329..3377598,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens ,NCTC12093,LR134303,24,Complete,KY433363,R997,ICE,3318329,3377598,59269,+,prfC,DOI: 10.1128/AEM.00485-18,DOI: 10.1128/AEM.00485-18,-,ref_dataset_proto,-,-,5049396
LRFW01000016:32791..62795,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,F63267,LRFW01000016,670,Scaffold,-,GIVpaF63267,IME,32791,62795,30004,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,112595
LRFX01000038:49823..71612,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,W501,LRFX01000038,670,Scaffold,-,GIVpaW501,IME,49823,71612,21789,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,104311
LSRT01000105:2..17348,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp.,T13-3,LSRT01000105,1794906,Scaffold,-,GIMspT13-3,IME,2,17348,17346,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,17390
LVCX01000030:1..11088,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae,JFC3,LVCX01000030,38313,Scaffold,-,GISalJFC3,IME,1,11088,11087,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,33868
LVIC01000012:110913..125143,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp.,KX64203,LVIC01000012,1872427,Scaffold,-,GIAspKX64203,IME,110913,125143,14230,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,125143
MF490433:1348..57218,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,PmPHI,MF490433,584,Complete,-,GIPmi1,IME,1348,57218,55870,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,58088
MIPA01000024:11469..41399,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,692-79,MIPA01000024,666,Scaffold,-,GIVchUSA2,IME,11469,41399,29930,-,dusA,custom: RD,-,-,ref_dataset_proto,-,-,48643
MIRT01000034:49306..76127,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,GCSL_R88,MIRT01000034,670,Scaffold,-,GIVpaGCSL_R88,IME,49306,76127,26821,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,108432
MITX01000042:7468..36885,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,CDC_K5277,MITX01000042,670,Scaffold,-,GIVpaBan1,IME,7468,36885,29417,+,dusA,custom: RD,-,-,ref_dataset_proto,-,-,98404
MKQU01000013:49460..66017,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,PMA3.15,MKQU01000013,670,Scaffold,-,GIVpaPMA3.15,IME,49460,66017,16557,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,98535
